Team,Overall,Total,Anatomy and Physiology,Astronomy,Boomilever,Chemistry Lab,Circuit Lab,Codebusters,Designer Genes,Disease Detectives,Dynamic Planet,Experimental Design,Fermi Questions,Forensics,Fossils,Geologic Mapping,Herpetology,Mission Possible,Mousetrap Vehicle,Protein Modeling,Sounds of Music,Thermodynamics,Water Quality,Wright Stuff,Write It Do It,Detector Building,Environmental Chemistry,Team Penalties
Troy H.S. CA ,1,231,3,8,12,9,6,11,2,1,8,3,3,7,3,6,18,8,2,32,10,9,3,37,30,8,62,0
Solon H.S. OH ,2,276,9,28,10,17,14,18,35,15,7,7,11,10,1,1,5,3,1,25,1,7,28,10,13,30,35,0
Harriton H.S. PA ,3,277,4,11,22,5,3,10,14,4,11,4,22,6,15,4,8,15,8,5,18,13,9,11,55,62,26,0
Mason H.S. OH ,4,294,2,9,11,11,4,4,8,9,31,6,12,21,16,28,14,4,27,17,8,4,6,16,26,6,12,0
Pioneer H.S. (Ann Arbor) MI ,5,309,12,25,3,22,5,6,22,3,20,22,29,1,2,14,4,16,13,15,16,16,34,6,3,22,6,0
Adlai E. Stevenson H.S. IL ,6,320,15,17,1,6,12,22,13,21,4,9,20,11,28,11,31,10,22,6,9,8,21,18,5,14,17,0
Seven Lakes H.S. TX ,7,322,8,19,9,26,11,24,4,17,19,20,7,28,8,8,17,23,30,2,7,20,4,9,2,4,23,0
New Trier H.S. IL ,8,327,28,1,2,15,2,9,3,20,1,12,9,25,5,10,29,24,29,3,13,3,33,41,10,19,25,0
ABRHS MA ,9,330,1,3,18,2,25,21,1,12,5,23,1,3,23,13,22,37,12,19,2,23,12,36,16,23,2,0
Northville H.S. MI ,10,332,13,20,13,7,13,3,40,18,17,18,36,22,9,5,16,29,11,4,6,5,15,3,9,7,62,0
Columbia H.S. NY ,11,339,17,22,26,14,15,30,5,25,2,24,16,23,19,3,23,21,15,1,3,10,1,5,19,20,33,0
TJHSST VA ,12,344,23,10,25,16,1,5,7,10,14,27,19,17,4,29,26,6,10,16,5,2,18,12,42,16,3,0
Enloe Magnet H.S. NC ,13,350,19,6,19,3,8,14,12,6,21,31,26,9,22,30,3,2,7,10,22,1,2,45,32,62,30,0
WW-P H.S. South NJ ,14,354,18,15,16,4,10,8,16,11,27,5,21,8,17,7,6,30,43,8,28,6,22,20,8,13,16,0
Mira Loma H.S. CA ,15,376,11,4,5,12,27,34,10,26,3,34,32,30,11,18,2,18,3,18,21,17,7,4,29,17,18,0
Bayard Rustin H.S. PA ,16,386,34,23,27,25,20,12,18,39,24,11,4,12,18,16,9,12,4,27,12,11,11,2,15,62,22,0
